employee_id,department,job_role,work_mode,marital_status,age,monthly_income,years_at_company,distance_from_home_km,num_projects,overtime_hours_per_month,satisfaction_survey_score,last_promotion_years_ago,manager_id,badge_color,desk_floor,parking_spot_assigned,attrition
900000,Engineering,Senior,Onsite,Divorced,29,41944.06,16,2.09,9,12,4,7,23,4,7,1,0
900001,Engineering,Junior,Onsite,Divorced,43,93778.19,18,5.22,7,19,2,0,10,1,6,1,0
900002,Sales,Senior,Hybrid,Married,29,55975.23,6,7.16,2,12,1,8,17,1,5,0,1
900003,Engineering,Mid,Hybrid,Married,32,26465.69,19,4.3,4,19,4,7,30,3,6,0,0
900004,Support,Senior,Onsite,Divorced,45,34926.29,6,20.58,2,16,2,9,13,1,4,1,1
900005,Sales,Mid,Onsite,Single,35,22442.83,23,4.6,11,14,5,6,38,4,8,0,0
900006,HR,Mid,Remote,Divorced,32,46703.8,6,1.64,11,11,4,2,17,2,8,0,0
900007,Engineering,Junior,Onsite,Married,30,102314.18,14,1.39,3,11,3,9,38,4,3,1,0
900008,Marketing,Mid,Hybrid,Married,33,116520.34,12,15.45,5,15,1,8,22,4,8,0,0
900009,Marketing,Mid,Onsite,Single,54,47820.22,23,1.0,7,15,4,9,1,2,1,1,1
900010,Marketing,Senior,Hybrid,Married,24,74901.78,4,4.82,6,14,5,1,44,4,6,1,0
900011,Sales,Mid,Onsite,Married,25,60023.56,1,5.62,9,16,2,3,14,2,8,0,0
900012,Support,Senior,Hybrid,Single,40,144919.3,14,9.72,11,9,2,9,40,4,5,0,0
900013,Sales,Senior,Onsite,Married,35,98681.58,4,1.0,5,7,2,9,1,4,4,1,1
900014,Engineering,Lead,Onsite,Divorced,45,78535.61,5,13.23,5,22,2,5,6,1,9,1,0
900015,Support,Senior,Onsite,Married,54,44925.97,13,3.68,11,14,5,6,42,1,6,1,0
900016,Sales,Junior,Hybrid,Single,34,68393.18,0,2.83,1,21,2,0,37,4,6,1,0
900017,Support,Mid,Onsite,Single,32,85987.05,3,3.47,10,16,4,9,23,3,4,1,0
900018,Marketing,Mid,Onsite,Single,29,54568.75,11,17.0,3,17,4,9,8,2,5,1,0
900019,Sales,Lead,Onsite,Married,43,68926.43,17,6.84,9,15,5,7,3,4,9,1,0
900020,Sales,Lead,Hybrid,Married,33,58639.45,9,2.4,9,16,4,2,34,2,6,1,0
900021,Engineering,Lead,Onsite,Married,25,61352.87,24,1.94,11,17,2,0,29,3,2,0,0
900022,Engineering,Junior,Hybrid,Single,34,75585.52,18,10.25,4,23,5,0,5,2,4,1,0
900023,Sales,Senior,Onsite,Divorced,47,54275.89,6,35.51,7,15,5,6,12,2,8,0,1
900024,Engineering,Lead,Onsite,Single,46,90545.14,17,16.66,1,17,4,2,10,4,5,1,0
900025,Sales,Mid,Onsite,Married,59,78449.96,7,2.97,1,8,1,3,26,3,8,1,1
900026,Marketing,Mid,Hybrid,Married,59,66709.49,20,14.01,5,12,1,1,43,3,2,1,0
900027,Support,Junior,Remote,Married,49,85160.65,12,20.96,6,16,3,9,28,2,7,0,1
900028,Engineering,Mid,Onsite,Single,52,62308.46,5,15.18,2,14,1,8,16,3,9,1,1
900029,Sales,Junior,Onsite,Single,55,49372.96,4,5.22,7,15,3,0,5,5,5,0,1
900030,Support,Junior,Onsite,Married,42,108735.28,10,4.41,11,15,4,8,42,5,5,0,0
900031,Engineering,Junior,Onsite,Single,48,28527.66,3,1.14,9,13,4,6,44,1,9,1,1
900032,Support,Junior,Onsite,Married,28,80428.65,21,1.0,4,15,1,6,14,1,2,1,0
900033,Sales,Senior,Hybrid,Married,58,97969.61,24,13.71,6,16,4,8,7,3,7,0,0
900034,Engineering,Senior,Hybrid,Married,26,65231.5,22,22.85,2,14,5,0,26,4,4,1,0
900035,Support,Lead,Remote,Married,28,59892.74,10,2.48,9,11,3,0,23,4,4,1,0
900036,Support,Mid,Onsite,Single,35,100313.11,14,4.63,4,16,4,9,26,5,3,0,0
900037,HR,Lead,Hybrid,Married,35,45270.36,4,16.58,1,10,4,3,21,3,6,0,0
900038,Support,Junior,Onsite,Married,33,81802.39,11,1.34,9,15,4,4,17,2,2,1,0
900039,Sales,Junior,Hybrid,Married,47,61272.93,4,1.1,10,4,1,0,34,1,5,1,0
900040,HR,Senior,Remote,Single,43,72548.14,24,8.22,5,13,3,9,5,2,5,1,0
900041,Engineering,Senior,Onsite,Married,34,64869.71,10,8.6,3,14,4,5,24,3,9,1,0
900042,Sales,Senior,Hybrid,Married,44,43103.08,6,21.26,8,14,1,1,5,4,4,1,0
900043,Engineering,Lead,Hybrid,Single,57,47747.97,10,14.37,7,14,3,0,31,2,5,0,0
900044,Sales,Senior,Onsite,Single,26,98235.35,11,1.18,11,16,4,0,39,4,4,1,0
900045,Engineering,Junior,Onsite,Divorced,50,72180.54,3,1.86,1,13,1,5,16,4,6,1,1
900046,HR,Mid,Onsite,Divorced,59,71314.3,19,3.05,8,21,5,1,34,4,6,1,0
900047,Support,Mid,Remote,Single,30,18000.0,2,9.34,11,10,2,0,25,2,3,0,1
900048,Engineering,Junior,Hybrid,Single,26,88293.17,6,2.69,4,24,2,7,35,2,7,0,0
900049,Sales,Mid,Hybrid,Single,41,118187.01,16,10.25,8,18,3,1,2,5,2,0,0
900050,Support,Junior,Onsite,Married,50,54277.28,7,20.85,4,22,4,2,7,2,1,0,0
900051,HR,Junior,Onsite,Divorced,34,76751.32,21,1.99,5,17,4,9,7,2,9,1,1
900052,Engineering,Senior,Remote,Married,21,83101.86,17,2.95,11,15,4,3,1,5,7,1,0
900053,Support,Junior,Remote,Married,21,29120.81,13,4.11,10,17,4,4,41,1,9,0,1
